force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1744806,4176424,3733778.4,1896862.5,3821246,4439877,-152056.5,-263453,-87467.6,1.48E+00
1.5,1,1,0,1750168,4202264,3743757.6,1893787.5,3802890,4452214,-143619.5,-249950,-59132.4,1.48E+00
1.5,1,1,0,1748964,4200700,3752034,1897537.5,3813758,4434586,-148573.5,-233886,-61724,1.49E+00
1.5,1,2,0,1447670,4024342,3510896.4,1922687.5,3838926,4511533,-475017.5,-487191,-328029.6,1.54E+00
1.5,1,2,0,1441300,4021150,3501022.8,1922450,3856606,4522518,-481150,-501368,-355583.2,1.53E+00
1.5,1,2,0,1442070,4014248,3497498.4,1923812.5,3844594,4543292,-481742.5,-529044,-347095.6,1.55E+00
1.5,1,2,0,1441076,4030446,3500415.6,1920900,3847246,4513691,-479824,-483245,-346830.4,1.55E+00
1.5,1,2,0,1441958,4017748,3486648,1925987.5,3848390,4525807,-484029.5,-508059,-361742,1.55E+00
1.5,1,2,0,1439284,4016096,3497089.2,1922675,3854682,4525859,-483391,-509763,-357592.8,1.54E+00
1.5,1,2,0,1441034,4007738,3502752,1919275,3832855,4539379,-478241,-531641,-330103,1.55E+00
1.5,1,2,0,1439564,4028192,3503953.2,1919787.5,3848286,4526977,-480223.5,-498785,-344332.8,1.54E+00
1.5,1,2,0,1438472,4012218,3495993.6,1921250,3857607,4517474,-482778,-505256,-361613.4,1.54E+00
1.5,1,2,0,1438276,4000920,3499729.2,1920650,3857607,4530461,-482374,-529541,-357877.8,1.54E+00
1.5,1,2,0,1440306,4019750,3490462.8,1922912.5,3847025,4529811,-482606.5,-510061,-356562.2,1.55E+00
1.5,1,2,0,1438388,4030698,3498079.2,1922387.5,3848637,4506723,-483999.5,-476025,-350557.8,1.55E+00
1.5,1,2,0,1439004,4014682,3497260.8,1923112.5,3852680,4536948,-484108.5,-522266,-355419.2,1.54E+00
1.5,1,2,0,1438262,4015354,3490594.8,1923350,3841578,4535869,-485088,-520515,-350983.2,1.53E+00
1.5,1,2,0,1438234,4013912,3490990.8,1924037.5,3849521,4540276,-485803.5,-526364,-358530.2,1.53E+00
1.5,1,2,0,1438584,4016894,3497775.6,1923575,3848988,4511312,-484991,-494418,-351212.4,1.53E+00
1.5,1,2,0,1438164,4017874,3498250.8,1920812.5,3854318,4522453,-482648.5,-504579,-356067.2,1.53E+00
1.5,1,2,0,1437268,4014556,3494158.8,1925537.5,3850418,4521101,-488269.5,-506545,-356259.2,1.54E+00
1.5,1,2,0,1437324,4018756,3485380.8,1921700,3858023,4521712,-484376,-502956,-372642.2,1.53E+00
1.5,1,2,0,1439116,4013688,3494911.2,1921450,3850392,4505176,-482334,-491488,-355480.8,1.53E+00
1.5,1,2,0,1435686,4013128,3492548.4,1926575,3845361,4533737,-490889,-520609,-352812.6,1.53E+00
